frag_num_100k,frag_num_1k_max,freq,freq_sum,freq_sum_cutoff
1,1,1.0,1.0,True
2,1,0.9905,1.0,True
3,1,0.9686,1.0,True
4,2,0.0577,0.058,True
5,2,0.0952,0.096,True
6,2,0.1397,0.1416,True
7,2,0.1899,0.1945,True
8,2,0.2502,0.2532,True
9,2,0.3075,0.3147,True
10,2,0.3578,0.3699,True
11,2,0.4297,0.4464,True
12,2,0.4792,0.4991,True
13,2,0.5401,0.5657,True
14,2,0.5752,0.6076,True
15,2,0.62,0.6619,True
16,2,0.6662,0.7156,True
17,3,0.0599,0.0625,True
18,3,0.0675,0.07,True
19,3,0.0778,0.0813,True
20,3,0.1007,0.105,True
21,3,0.1069,0.1118,True
22,3,0.1167,0.1244,True
23,3,0.1397,0.14509999999999998,True
24,3,0.152,0.1602,True
25,3,0.1722,0.184,True
26,3,0.1904,0.20190000000000002,True
27,3,0.2067,0.2212,True
28,3,0.2285,0.2436,True
29,3,0.26,0.2767,True
30,3,0.2661,0.2871,True
31,3,0.2965,0.32189999999999996,True
32,3,0.3106,0.3392,True
33,3,0.3438,0.3747,True
34,3,0.3534,0.3917,True
35,3,0.3812,0.4195,True
36,3,0.4014,0.44639999999999996,True
37,4,0.0473,0.0506,True
38,4,0.0524,0.0555,True
39,4,0.0577,0.0618,True
40,4,0.063,0.0689,True
41,4,0.0645,0.0694,True
42,4,0.0718,0.0777,True
43,4,0.0808,0.087,True
44,4,0.0887,0.09570000000000001,True
45,4,0.0954,0.1043,True
46,4,0.0989,0.1073,True
47,4,0.1082,0.1192,True
48,4,0.1186,0.1321,True
49,4,0.1257,0.1373,True
50,4,0.1351,0.1511,True
51,4,0.14,0.15410000000000001,True
52,4,0.1561,0.1717,True
53,4,0.168,0.1885,True
54,4,0.1762,0.1949,True
55,4,0.1886,0.212,True
56,4,0.2011,0.224,True
57,4,0.2015,0.2262,True
58,4,0.2213,0.2506,True
59,4,0.2308,0.2639,True
60,4,0.2385,0.2741,True
61,4,0.2626,0.2968,True
62,4,0.2545,0.2972,True
63,4,0.2797,0.3219,True
64,4,0.293,0.3367,True
65,4,0.3003,0.34740000000000004,True
66,5,0.048,0.0541,True
67,5,0.0502,0.0553,True
68,5,0.0562,0.0626,True
69,5,0.0541,0.0618,True
70,5,0.0602,0.0676,True
71,5,0.067,0.07540000000000001,True
72,5,0.0666,0.0762,True
73,5,0.0727,0.0825,True
74,5,0.0795,0.08940000000000001,True
75,5,0.0843,0.0954,True
76,5,0.0903,0.1039,True
77,5,0.0895,0.1027,True
78,5,0.0997,0.113,True
79,5,0.1065,0.1239,True
80,5,0.1081,0.1241,True
81,5,0.1132,0.13069999999999998,True
82,5,0.1165,0.131,True
83,5,0.1285,0.1456,True
84,5,0.1338,0.1539,True
85,5,0.1347,0.1578,True
86,5,0.1416,0.1658,True
87,5,0.1514,0.17620000000000002,True
88,5,0.1551,0.1813,True
89,5,0.1606,0.1909,True
90,5,0.1723,0.20800000000000002,True
91,5,0.1775,0.20779999999999998,True
92,5,0.1805,0.21459999999999999,True
